brand,discounted_price,product_name,retail_price,uniq_id
Shuz,1270,Shuz Touch Boots,1499,029565fee2f177b15e2cb9b7388a6a24
Skanders,1817,Wrangler Skanders Fit Men's Jeans,2795,1ed3a04918640144f3c7b91edc15b493
Steppings,1919,Steppings Trendy Boots,3199,f5edb6f2171b384ce99a71e52f0a64c9
Salt,3221,Salt N Pepper 14-664 Denny Black Boots Boots,4295,e18aace92fadededb348d8488931a1e2
Costa,429,"Costa Swiss CS-2001 Analog Watch  - For Boys, Men",1199,16655211772e017f8e207c24b8340214
Crocs,3995,Crocs Boots,3995,7713ac1bbb7b5c03019314a46076a6f2
Breitling,571230,"Breitling AB011010/BB08 131S Chronomat 44 Analog Watch  - For Boys, Men",571230,329c5f4d7aced63e1ce3e88f41d5e7e6
Lyc,899,Lyc White Casual Boots,1199,130a50a99e78426459f0d909b0bc0f07
Myra,499,Myra Comfortable Boots,1049,47b08bfc60cb74872ac29ccb93b64ca7
Calibro,699,"Calibro SW-125 Analog-Digital Watch  - For Men, Boys",2000,920154acbe49d3202ed7d2ed2df1ea13
Get,2799,Get Glamr Designer Uggy Boots,3499,5b085177978f863858eb88c27dfbf01b
Kielz,899,Kielz Ladies Boots,2299,3b53afd15e056d3ef13be8bbc90a35c9
Kielz,999,Kielz Ladies Boots,1999,3a9689400032bf48b5487b9a878b90e7
Rochees,952,Rochees RW50 Analog Watch  - For Boys,1120,f292c544825690b4f64504befa2875e6
Kielz,1299,Kielz Ladies Boots,2799,ff1a8e7edc438d81753fb1d1e961072a
Salt,2621,Salt N Pepper 13-516 Greta Red Boots,3495,5b60beedcf050b87e5b5ffcf3291086e
Fluid,849,Fluid DMF-002-GR01 Digital Watch  - For Boys,1699,b8950a817c882307669cc6cdc34fbb93
Steppings,639,Steppings Trendy Boots,1599,fb2392b67efbdcd335221c79b880f303
Rialto,2395,Rialto Boots,3295,cdc184d8b1f13b6b856e44260398cb98
Rorlig,399,"Rorlig RR-030 Essentials Analog Watch  - For Men, Boys",1099,811ac21c8b5e08260dc0ee4288cbb472
Regular,1812,Wrangler Regular Fit Men's Jeans,3295,a468d980aaecbf4e1018e341772669df
Steppings,2274,Steppings Trendy Boots,3499,e0a3585aa6424706c5b3fafd9d72a84e
Disney,350,"Disney DW100230 Digital Watch  - For Boys, Girls",350,fd2fed517efb6e4c9824eb12e436d19b
Salt,2771,Salt N Pepper 13-167 Marsha Red Boots,3695,a919c3ae44e0f1d2e1e5cafe7ea057ae
Cartier,201000,"Cartier W6701005 Analog Watch  - For Boys, Men",201000,08452abdadb3db1e686b94a9c52fc7b6
Bruno,1359,Bruno Manetti Cannelita Boots,3399,eb7148dc532ca3a71f0c88fe1d617b4d
Stylistry,1599,Stylistry Maxis Shde6603brwoboot3104 Boots,2199,a8f99924be2c3dc4c6c4d0208f55cc66
Lois,399,"Lois Caron LCS-4032 Analog Watch  - For Boys, Men",1200,1e8741b5ae27a513546c94b3f3312aee
Felix,525,"Felix Y 39 Analog Watch  - For Boys, Men",1550,1cbd0a513268feade315cb09bdfb66e4
Kielz,2399,Kielz Boots,2999,85bf557c3728428485761f3df2289fc0
Kielz,899,Kielz Ladies Boots,2299,1152067424d4a5a6f562e62692452da0
Sakay,3499,Sakay Country Leather Boots,3999,c6c1eca6e11a3b8e347feb7c35a29680
La,2069,La Briza Black Boots,2299,da9e88f44d938a63290cec6ab8bb1871
Kool,263,"Kool Kidz DMK-012-QU02 Analog Watch  - For Girls, Boys",375,a8980adc2e8740e50dc4d305da965409
Franck,959,"Franck Bella FB0128B Analog Watch  - For Men, Boys",1199,af6b07bd021da2fba6f993eeda27b2ed
Steppings,1099,Steppings Trendy Boots,2199,423ec6b3b699983c31faa16a39fcb60e
Kool,333,"Kool Kidz DMK-003-YL 03 Analog Watch  - For Girls, Boys",475,78c73a39ced929d204418bcc80f3058d
Vizion,595,"Vizion 8502-6BLACK Sports Series Digital Watch  - For Boys, Girls",1095,8be1f8b6f7207c71205c652e0a2cac75
Vencer,144,Vencer Stella 7lyt1011 Digital Watch  - For Boys,399,eb4f1bcaca52402bc2ec1a93dce85013
La,3999,La Briza Mile Boots,3999,8a51a9757dd11c3a47f948d99c11a481
Casela,899,"Casela CAS-W-13 Basic Analog Watch  - For Boys, Girls",3999,c9b137687a6ba49b8ac767f9c83b12a5
Sneha,899,Sneha Unique Boots,1799,a6f4e66cf99bce007792c6a8fdbb3d10
Timer,549,Timer TC_-_690143 Analog Watch  - For Boys,1299,adc5274c2422dbc21185039f7589d3e6
Regular,1899,NE Regular Fit Men's Jeans,4999,d447a50211d5e0246ccbb3212cc2b8de
Shuz,2995,Shuz Touch Boots,2995,077967ce96ae71fb71a684020f58bc59
Kielz,1149,Kielz Ladies Boots,2499,1e612e880fe7119f93caf9a1c5ffb6b4
Colat,1049,"Colat COLAT_M08 Roman Numerals Analog Watch  - For Men, Boys",4999,c35ad9935596de3d0d0134a806396072
Kielz,899,Kielz Ladies Boots,2299,8782cc47269fa18d54998b55ed1124a9
Belle,1695,Belle Gambe Boots,3999,45ec8cf2bd446146b8ae743e7803ab8f
Titan,1695,"Titan 1639SL03 Analog Watch  - For Boys, Men",1795,189fa66a5fa6f08d2802a62ecf0be298
Selfie,599,Selfie Boots,1200,eca609c78e79ab510dc43cffeef22cc2
Clincher,3499,Clincher Semonday Boots,3499,8e802c5ef0aa3d98654d8b61e21a9cee
Srushti,200,"Srushti Art Jewelry Megnet_Led_Sport_BlackRed1 Digital Watch  - For Men, Women, Boys, Girls",799,bbb8cdc5406ff60ff06ff64630f2ca47
Kielz,1149,Kielz Ladies Boots,2499,a7217cbdcf32fcfc22080c02b2bdb2b9
Q&Q,526,"Q&Q VQ13-008 Analog Watch  - For Girls, Boys",585,807302011d3d8f4d88860cff2cb16dee
Belle,1765,Belle Gambe Boots,3499,4527bbaf1bec166066c5ca90e4992655
Escort,1829,"Escort E-1700-906_Blk Analog Watch  - For Men, Boys",1925,1120bc768623572513df956172ffefeb
Roxy,9997,Roxy Boots,19995,522cc294663f3cf4bf1774d060ef949e
Lee,1619,Lee Men's Jeans,2699,36b84f61c91a47822d6863963aad5812
Bruno,1199,Bruno Manetti 676 Boots,2999,a9078723d7abc68d9f5adaf42d502583
Estilo,299,"Estilo 1056 Analog Watch  - For Boys, Men",1299,65fee026fb77433fdcc4ad8c2f6a0239
Jack,150,Jack klein BlackLed Digital Watch  - For Boys,999,5479bb7028827d60000720a2c135976a
North,150,"North Moon IW-005-FK Silicone Ion Digital Watch  - For Boys, Girls, Women",235,733aa1e801a139fa8dc7be9f0eff5ee0
Shuz,1270,Shuz Touch Boots,1499,377acf980df19ffec9fceb3374045aef
Foot,1699,Foot Candy Boots,2899,e700d9bcf30a1be23a476ca0245865da
Credos,3499,Credos Boots,4499,4dcd5dfc481ab82813ff8084589a7e77
Rich,149,"Rich Club Apple Shaped LED Digital Watch  - For Boys, Girls",999,ba2673ae70331fae9834a1e89222407b
Skmei,1699,"Skmei AD1031-Black Formal Analog-Digital Watch  - For Men, Boys",2499,da1708ea7bc596fd298546edef0bccfc
Kielz,1299,Kielz Ladies Boots,2799,4a64690816ae10828372e143bd6f0bcb
Kms,350,"Kms Ironman_Look_Led_Black11 Digital Watch  - For Men, Women, Girls, Boys",1395,5f081c3b36ae72605ad87d65561802f8
Anand,499,Anand Archies Boots,499,4e4d4d2b9d625ed2401718a411a3ddcb
Magnum,1899,Magnum Footwear Lifestyle Boots,2999,606f4194a6d47bbcae253e22dc261e97
Steppings,1099,Steppings Trendy Boots,2199,06c75f30f1b28273c4d3b0df8f2e8eb8
Swag,899,Swag 670038 Analog Watch  - For Boys,2499,16e51ebfe30d03f9d1563e0fbc0af062
Bonzer,499,Bonzer Boots,999,906b3a5912453ffced2dbd0fc4bd495c
Skinny Fit,1249,Roadster Skinny Fit Fit Men's Jeans,2499,7ebca8e1830a1a7041f77c342b1282ee
Selfie,499,Selfie Black Denim Boots,1000,e48133816aeb071339fcb03b9e8c0c32
Steppings,2559,Steppings Boots Boots,3199,35eab2a05e269441bdcaf6a3bad1b546
Q&Q,645,"Q&Q LLA2-213 Digital Watch  - For Boys, Girls",645,a45c097adcf59401d1ac57ac632d8d71
Belle,1695,Belle Gambe Winter Boots,3499,dfa536b435f093dc6ad6f1d5094eb726
Hala,159,"Hala Red In Black trendy digital Digital Watch  - For Boys, Girls, Men",399,ccfdfc13491abbf4225b1e31c83f7a9f
Kielz,1249,Kielz Ladies Boots,2499,37d02e85eecd26fd35d72383f237c393
Kielz,1999,Kielz Boots,2499,16c2a51f0221e07bf1c3fc6b9e8e9f91
Franck,780,"Franck Bella FB74C Analog Watch  - For Boys, Men",1299,62c35de4df27437d3597963fac55a8b6
Carlton,2295,Carlton London Boots,2295,70a5697b744f4d9c643fb961bbe2da6d
Ridas,249,Ridas Apl_led_black Apple Shape Digital Watch  - For Boys,349,33d97d63c037078cd3f08033966d6a88
Shuz,4495,Shuz Touch Boots,4495,38f76561c1a98d104bc1a84879a8ff47
La,2099,La Briza Andria Boots,2099,e528bc66d53b8e1d8196da5b20f045ab
Skmei,1179,"Skmei 1070BLK Sports Analog-Digital Watch  - For Men, Boys",2345,92575fe20a9a1795c4e26c9299166122
Kielz,999,Kielz Ladies Boots,1899,a259ce93922e4a85da7777496d74d7dd
Carlton,1995,Carlton London Boots,1995,fda7cf99231911725aee46d57ce8e6c3
Skmei,1199,"Skmei AD1057-Dark-Orange Sports Analog-Digital Watch  - For Men, Boys",1799,d7ca2b06b4f4d3b98c61c377b18a2d6b
Urban,1650,Urban Country Ladies Boots,3299,b7dc0087348ad77ccc09ab6a9c09d2da
Now,600,Now SP-ETHNIC Analog Watch  - For Boys,600,f74476ba64365d97a5be7d375cbf4c7a
Disney,1350,"Disney MSFR190-01B Analog Watch  - For Boys, Girls",1350,f9cfba716a28cc866d93111218e82908
Get,2799,Get Glamr Designer Yuvu Boots,3499,7ffa15f02724bcd799ca7d2ffb673a79
Kielz,2399,Kielz Boots,2499,3dd037467871ed745e011096149c9fc6
Belle,1765,Belle Gambe Boots,3999,a55b4f633fcaee55344ac4aac13cbfa5
Remson,1999,Remson India Boots,3999,15848e0fa49ab6eabda6d965aedb4f6c
Steppings,639,Steppings Trendy Boots,1599,f0ddd7ea1e184721acac4cb9a21e77b3
Jacques,1567,Jacques Farel KWD2324 Analog Watch  - For Boys,2850,dc2ea06f188cfc21a44ad087ab7cbfdf
Rialto,1800,Rialto Boots,2795,2d89c80253d471781b7926f8107e7078
Salt,3746,Salt N Pepper 13-455 Pisa Black Boots,4995,bb968801d62add091536d412b2c56b8b
Oxter,299,"Oxter Chrono Blue Italia Analog Watch  - For Men, Boys",999,324f32c19cf1fab802126f11ea1de785
Klaur,1574,Klaur Melbourne Boots,3499,0692381f01171e637f248c933550e478
Positif,800,"Positif Pfbk612 Analog Watch  - For Men, Boys",1100,b8785373140e7542e1fd524857f7e274
Selfie,599,Selfie Boots,1200,4b2c7a17ad687d238245e63b52c07721
