,brand,discounted_price,product_name,retail_price,uniq_id
595,Only,1495.0,Only Party Short Sleeve Solid Women's Top,1495.0,beb241345dac78fafa6acf7541ba1cbe
596,Elisabetta,2095.0,Elisabetta Bartolli Party Short Sleeve Solid Women's Top,2095.0,873dd9a81b6ea6a8acf59019d9ec291c
597,Tapyti,408.0,Tapyti Casual Short Sleeve Solid Women's Top,815.0,90984dfe8cab48ee97475fc6721b97b5
598,MSL,499.0,MSL Women Flats,499.0,665d03f7b99806ac32475820a9e3615d
599,Tapyti,890.0,Tapyti Party Sleeveless Solid Women's Top,1275.0,74b81374c5482b4ddf6c859636f81466
600,Nishtaa,8835.0,Nishtaa Yellow Gold 22 K Ring,9300.0,c33cc253f7031178ed65e6951ecf6d78
601,JDX,3370.0,JDX Plain Bed/Sleeping Pillow,7999.0,d12d8e67f9bb082bbef65372a196821b
602,Cation,499.0,Cation Casual 3/4 Sleeve Solid Women's Top,999.0,184ce82ef9f723893c995b5f89ef3a4d
603,JDX,2400.0,JDX Plain Bed/Sleeping Pillow,5299.0,5bff28a8801678232a38836e6bdacb02
604,Cation,950.0,Cation Casual 3/4 Sleeve Solid Women's Top,1998.0,d88642caefd77796ee95d340182f4d6e
605,JDX,2880.0,JDX Plain Bed/Sleeping Pillow,5899.0,727e7fbc1a107334d3175c0edb7062c6
606,Cation,499.0,Cation Casual Short Sleeve Solid Women's Top,899.0,f134532269981b2b606cf46a9ace1d53
607,DailyObjects,1685.0,DailyObjects Back Cover for iPad Mini/Retina Display,1999.0,1954ef1d8249262909b3d138808156bf
608,Life,839.0,Life by Shoppers Stop Women's Gathered Dress,1399.0,2ceb2d87255820d363a85e78d39c30a1
609,Kiara Jewellery,1475.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,2975.0,db63268a8e05d61984620caa8979a125
610,Kiara Jewellery,2175.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,3675.0,0d15b58884366b057241c7ab3a2e2aed
611,Calgari,1799.0,Calgari Women's Gathered Dress,1799.0,1de462dc46412f4fe577e94027b40f1b
612,Dumdaar.com,899.0,Dumdaar.com Women's Gathered Dress,1699.0,9f6a7387b1ef398d34fb0fb074afe779
613,Kiara Jewellery,3025.0,Kiara Jewellery Sterling Silver Cubic Zirconia Rhodium Ring,4525.0,119f6661ea91b6a54b7288ddfea26bcd
614,Kiara Jewellery,1955.0,Kiara Jewellery Silver Cubic Zirconia Rhodium Ring,3911.0,0dd87df1618cb9665fccb6b2910f581a
615,Krasns,2500.0,Krasns Couture Formal Sleeveless Solid Women's Top,2900.0,5c6b6834e469c205fbf83f086e0a005d
616,Forever,1299.0,Forever Fashion Casual Sleeveless Solid Women's Top,1599.0,4d0b5232fe57855bdc0feac95d8dcc66
617,JDX,2880.0,JDX Plain Bed/Sleeping Pillow,5899.0,9ab4a4be795873a249929d00fe26a157
618,JDX,3370.0,JDX Plain Bed/Sleeping Pillow,7999.0,b702cdd87b12d26bb8c393b82c7f39c7
619,JDX,4699.0,JDX Plain Bed/Sleeping Pillow,10999.0,3e6ac7ecc646d1d40cac926e29be483f
620,Ishtaa,8255.0,Ishtaa Gold Cubic Zirconia 18 K Ring,8690.0,04227ea8441464d6ac1d9d209e62e9d6
621,Selfcare,369.0,Selfcare Soft & Comfortable Newly Launched Girl's Top - Pyjama Set,749.0,0e450a47ae8d3766b4ea11c7bede4faa
622,Selfcare,360.0,Selfcare Soft & Comfortable Newly Launched Girl's Top,720.0,9e5e9b88a819fabb30cc53c2dc2ef96b
623,Selfcare,370.0,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,740.0,469e4e83555697e4223388d1ec8ea4af
624,Selfcare,370.0,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,740.0,ae1f38679a3ebdc5a53c65b6a1fd63bc
625,Selfcare,370.0,Selfcare Soft & Comfortable Newly Launched Girl's Pyjama,740.0,c73ce7e536a424a997a896a7f62b7367
626,Selfcare,360.0,Selfcare Soft & Comfortable Newly Launched Girl's Top,720.0,639e07ee510d27fdb371f6d0d5da8e35
627,Selfcare,369.0,Selfcare Girl's Top - Pyjama Set,749.0,f5ce88f7e407e1be63f82d74d5259d52
628,BlueStone,20581.0,BlueStone The Sestet Yellow Gold Diamond 14 K Ring,23124.0,2a18f623a9541c39c227152c40c4ae4c
629,YK,779.0,YK Self Design Round Neck Casual Boy's Sweater,1199.0,308a683c454504a3a9cdd93f5f1031f8
630,Addyvero,549.0,Addyvero Geometric Print Round Neck Casual Boy's Sweater,1499.0,e71534023b83eb3b0bacb59b6bd87b26
631,Next,439.0,Next Steps Striped Round Neck Casual Boy's Sweater,599.0,348516e22a5f017860dbcde1356b12b2
632,BlueStone,15916.0,BlueStone The Elettra Yellow Gold Diamond 18 K Ring,15916.0,ed80f5a8c111be83ac4be4a83b49da0f
633,Herberto,1499.0,Herberto Girl's A-line Dress,2899.0,2a0ec085edad18f37ad6bcc06cd9e777
634,Ozel,987.0,Ozel Studio Casual Full Sleeve Floral Print Women's Top,1645.0,54b2c569a05f819fc4d37b378e76dcd8
635,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,ab3a502f1d36c3deb4aefeab63a9cf9a
636,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,62b29ffa75ae615eacc04382ce733abd
637,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,8f06a7a986f85f68ff3927da34f56328
638,Navaksha,756.0,Navaksha Necktie Men's  Combo,1550.0,0dad330b790e1742af9c14a5d1e5cd4a
639,Navaksha,840.0,Navaksha Necktie Men's  Combo,1400.0,a26e40a0d6e3936cf244fdf62dbf83ca
640,Navaksha,840.0,Navaksha Necktie Men's  Combo,1400.0,33036cb1e49fff2540702689793b6bde
641,Superkids,825.0,Superkids Solid Round Neck Casual Boy's Sweater,825.0,6a46d191f626595963488442a29eeda3
642,Bells,659.0,Bells And Whistles Striped Round Neck Boy's Sweater,1099.0,403bb521ba0fb60574befcc79ea0b7ea
643,Babeezworld,800.0,Babeezworld Solid Round Neck Boy's Sweater,1400.0,04e7e9f6cdd399db4cfc7efeb10e6ba0
644,BlueStone,20423.0,BlueStone The Crocio Band Yellow Gold Diamond 14 K Ring,22946.0,e5d2b66ac1f0dc48209bfbe4a75bec13
645,Betty,1990.0,Betty Girl's Maxi Dress,1990.0,b534cccc9667da5eff10f6f3a70b8eb0
646,Betty,2070.0,Betty Girl's Maxi Dress,2070.0,0d6c3228f2a49c6a6bd63813ae5f3593
647,Betty,2007.0,Betty Girl's Maxi Dress,2230.0,6351759b35287ca6bfb1588cf44c4805
648,Betty,2120.0,Betty Girl's Maxi Dress,2120.0,4139f9fc819e3f2ad44b0686f4960c42
649,Betty,2055.0,Betty Girl's Maxi Dress,2055.0,a2d9f096bc0714655b9590fdeb53e89e
650,Betty,2630.0,Betty Girl's Maxi Dress,2630.0,b5baa3541cf85ae6059f14dfb69a9ad9
651,Betty,2455.0,Betty Girl's Maxi Dress,2455.0,dd54a33b2eabfe5585533839c2a0320e
652,Betty,1995.0,Betty Girl's Maxi Dress,1995.0,86d3fba45ffe7f46dc9af746c95474ce
653,Betty,1995.0,Betty Girl's Maxi Dress,1995.0,938c35bbfc9aaaf6fbdd2c1ee5d19c13
654,Karatcraft,37058.0,Karatcraft Risena Gold Diamond 18 K Ring,44470.0,bc6de56e36487f25eb9899e0ead952c0
655,Nineteen,1079.0,Nineteen Casual Bell Sleeve Solid Women's Top,1199.0,75a71965006c04d79e63dbf6e2a902ee
656,Imagination,699.0,Imagination Casual Full Sleeve Solid Women's Top,999.0,e23d63b12ab9d928a8cd75b2d07dfe26
657,Imagination,699.0,Imagination Casual Full Sleeve Solid Women's Top,999.0,69f6d95a3bec294509df91ced820f10e
658,Imagination,909.0,Imagination Casual Full Sleeve Striped Women's Top,1299.0,40c8e565d5d6252cf626a841e83185ef
659,Klick,546.0,Klick Casual Full Sleeve Solid Women's Top,1799.0,72d0e0706b2123136e3075b1b12e3d2c
